id,name,slug,state,createdOn,lastPublished,has_content
66ad3c63d80508f5822c0c44,Abbeville,abbeville,Georgia,2024-08-02T20:06:59.548Z,,False
66ad3c5c27a9893d4666bf61,Adairsville,adairsville,Georgia,2024-08-02T20:06:52.120Z,,False
66ad3c7603a96fd398e1f009,Adrian,adrian,Georgia,2024-08-02T20:07:18.385Z,,False
66ad3c77c7331652560334ae,Ailey,ailey,Georgia,2024-08-02T20:07:19.360Z,,False
66ad3c614baf0cfaa15fcbcc,Alamo,alamo,Georgia,2024-08-02T20:06:57.322Z,,False
66ad3c776bdb8177169fbce5,Alapaha,alapaha,Georgia,2024-08-02T20:07:19.197Z,,False
66ad3c789dd5d8624cdfcb4a,Allenhurst,allenhurst-1d31f,Georgia,2024-08-02T20:07:20.736Z,,False
66ad3c6cf5ebefd3fb95e558,Alto,alto,Georgia,2024-08-02T20:07:08.142Z,,False
66ad3c766bdb8177169fbc6d,Antioch,antioch,Georgia,2024-08-02T20:07:18.791Z,,False
66ad3c74b1e739f1dd07be12,Appling,appling,Georgia,2024-08-02T20:07:16.771Z,,False
66ad3c75ed5e6fb71ac356d0,Arabi,arabi,Georgia,2024-08-02T20:07:17.491Z,,False
66ad3c6a1bb9f765b7bd4dbb,Aragon,aragon,Georgia,2024-08-02T20:07:06.167Z,,False
66ad3c691bb9f765b7bd4d84,Arcade,arcade,Georgia,2024-08-02T20:07:05.872Z,,False
66ad3c796a546a67c83f572c,Argyle,argyle,Georgia,2024-08-02T20:07:21.122Z,,False
66ad3c6e397285c9367312e2,Arlington,arlington,Georgia,2024-08-02T20:07:10.324Z,,False
66ad3c7918abfa837df00c9b,Arnoldsville,arnoldsville,Georgia,2024-08-02T20:07:21.567Z,,False
66ad3c5ddc5ee071e24a3eef,Ashburn,ashburn,Georgia,2024-08-02T20:06:53.535Z,,False
66ad3c74e26979851e6b1fd6,Attapulgus,attapulgus,Georgia,2024-08-02T20:07:16.636Z,,False
66ad3c59f08c1c4dd07b94b0,Auburn,auburn,Georgia,2024-08-02T20:06:49.319Z,,False
66ad3c59ae33e71b5e733905,Austell,austell,Georgia,2024-08-02T20:06:49.003Z,,False
66ad3c5ffcc0eb28f2e15b79,Avondale Estates,avondale-estates,Georgia,2024-08-02T20:06:55.939Z,,False
66ad3c7103a96fd398e1eda5,Baconton,baconton,Georgia,2024-08-02T20:07:13.064Z,,False
66ad3c5e18abfa837deff8bd,Baldwin,baldwin,Georgia,2024-08-02T20:06:54.618Z,,False
66ad3c64ffa1dfaba5614935,Ball Ground,ball-ground,Georgia,2024-08-02T20:07:00.815Z,,False
66ad3c5aa7ef74e33c936311,Barnesville,barnesville,Georgia,2024-08-02T20:06:50.615Z,,False
66ad3c55f08c1c4dd07b8e82,Belvedere Park,belvedere-park,Georgia,2024-08-02T20:06:45.447Z,,False
66ad3c585098f548b709e828,Bemiss,bemiss,Georgia,2024-08-02T20:06:48.435Z,,False
66ad3c655bc14c1156328cfe,Berkeley Lake,berkeley-lake,Georgia,2024-08-02T20:07:01.080Z,,False
66ad3c732c0248af519e9b82,Berlin,berlin-9993a,Georgia,2024-08-02T20:07:15.776Z,,False
66ad3c6a427c1fb0d71b36fb,Berry College,berry-college,Georgia,2024-08-02T20:07:06.370Z,,False
66ad3c7616211a93fa30b2d7,Bethlehem,bethlehem-75b32,Georgia,2024-08-02T20:07:18.963Z,,False
66ad3c79c82fabd0a4089201,Between,between,Georgia,2024-08-02T20:07:21.427Z,,False
66ad3c7afa1efcd2091fb716,Bishop,bishop,Georgia,2024-08-02T20:07:22.479Z,,False
66ad3c74dd62e6a60e44c660,Blairsville,blairsville,Georgia,2024-08-02T20:07:16.134Z,,False
66ad3c62f1b824d2e55486c9,Bloomingdale,bloomingdale-794f7,Georgia,2024-08-02T20:06:58.707Z,,False
66ad3c6cb672c190d9109472,Blue Ridge,blue-ridge,Georgia,2024-08-02T20:07:08.007Z,,False
66ad3c6c687a94f0f681ad49,Bogart,bogart,Georgia,2024-08-02T20:07:08.745Z,,False
66ad3c5e12fe4164e16cfc4a,Bonanza,bonanza,Georgia,2024-08-02T20:06:54.950Z,,False
66ad3c6ee1960993c5dd1ee2,Boston,boston,Georgia,2024-08-02T20:07:10.892Z,,False
66ad3c64e79f67571c0a46d1,Bowdon,bowdon,Georgia,2024-08-02T20:07:00.822Z,,False
66ad3c7a2bd09b9e94b72e95,Bowersville,bowersville,Georgia,2024-08-02T20:07:22.041Z,,False
66ad3c72c46f12a175d2add8,Bowman,bowman,Georgia,2024-08-02T20:07:14.478Z,,False
66ad3c56e1db3d28a4449969,Braselton,braselton,Georgia,2024-08-02T20:06:46.259Z,,False
66ad3c5941511bff21922adc,Bremen,bremen,Georgia,2024-08-02T20:06:49.671Z,,False
66ad3c6b16211a93fa30aa2c,Brooklet,brooklet,Georgia,2024-08-02T20:07:07.336Z,,False
66ad3c74ffa1dfaba5615813,Brooks,brooks,Georgia,2024-08-02T20:07:16.428Z,,False
66ad3c6ff08c1c4dd07ba022,Broxton,broxton,Georgia,2024-08-02T20:07:11.326Z,,False
66ad3c6cf64da5ce9e4ca82f,Buchanan,buchanan,Georgia,2024-08-02T20:07:08.959Z,,False
66ad3c5cfa1efcd2091fa7a1,Buckhead,buckhead,Georgia,2024-08-02T20:06:52.346Z,,False
66ad3c68ae0e8ff8a4861099,Buena Vista,buena-vista-53813,Georgia,2024-08-02T20:07:04.870Z,,False
66ad3c68811d3428052c1a12,Butler,butler-96fe7,Georgia,2024-08-02T20:07:04.627Z,,False
66ad3c777382f042ca542d67,Byromville,byromville,Georgia,2024-08-02T20:07:19.322Z,,False
66ad3c5a921c8c113c3c2801,Byron,byron,Georgia,2024-08-02T20:06:50.822Z,,False
66ad3c76f08c1c4dd07ba538,Cadwell,cadwell,Georgia,2024-08-02T20:07:18.108Z,,False
66ad3c534fef8862e4cdddeb,Candler-McAfee,candler-mcafee,Georgia,2024-08-02T20:06:43.101Z,,False
66ad3c72ae33e71b5e73441c,Canon,canon,Georgia,2024-08-02T20:07:14.143Z,,False
66ad3c715098f548b709f688,Carnesville,carnesville,Georgia,2024-08-02T20:07:13.765Z,,False
66ad3c6918abfa837deffe62,Cataula,cataula,Georgia,2024-08-02T20:07:05.722Z,,False
66ad3c72e61b522e367372c9,Cave Spring,cave-spring,Georgia,2024-08-02T20:07:14.576Z,,False
66ad3c57d93f377ccfaceb62,Cedar,cedar,Georgia,2024-08-02T20:06:47.326Z,,False
66ad3c58ed29597b7b7826af,Centerville,centerville,Georgia,2024-08-02T20:06:48.854Z,,False
66ad3c79e1db3d28a444bb80,Centralhatchee,centralhatchee,Georgia,2024-08-02T20:07:21.233Z,,False
66ad3c5ce187c6decfadae78,Chatsworth,chatsworth,Georgia,2024-08-02T20:06:52.174Z,,False
66ad3c60ed5e6fb71ac346bc,Chattahoochee Hills,chattahoochee-hills,Georgia,2024-08-02T20:06:56.611Z,,False
